,Date,Open,High,Low,Close,Volume,Adj Close,Up or Down,100da,40da,20da
546,8/27/2012,29.57,29.700001,28.17,28.32,1350400,28.32,-1.0,30.863000030000027,30.147000075,29.071000099999992
547,8/28/2012,28.4,29.379998999999998,28.0,28.690001000000002,1402700,28.690001000000002,1.0,30.805100040000024,30.104250099999994,29.134500149999997
548,8/29/2012,28.49,28.639999,28.02,28.41,838900,28.41,-1.0,30.757700020000026,30.048000099999996,29.242500149999994
549,8/30/2012,28.6,28.74,28.1,28.41,656400,28.41,-1.0,30.717200030000022,29.977500099999997,29.35800014999999
550,8/31/2012,28.610001,28.84,28.200001,28.52,539800,28.52,-1.0,30.67150003000002,29.915750099999997,29.42050014999999
551,9/4/2012,28.52,28.99,27.9,28.139999,752500,28.139999,-1.0,30.618500030000018,29.832000074999996,29.414000099999992
552,9/5/2012,28.01,28.5,27.809998999999998,27.940001000000002,639300,27.940001000000002,-1.0,30.562000040000015,29.748750099999995,29.298500149999995
553,9/6/2012,28.0,28.9,27.9,28.549999,841700,28.549999,1.0,30.525000030000015,29.674750075,29.27150009999999
554,9/7/2012,28.549999,29.57,28.5,29.35,953200,29.35,1.0,30.496100010000013,29.591000049999998,29.268500099999994
555,9/10/2012,29.200001,29.35,27.299999,27.370001000000002,1483300,27.370001000000002,-1.0,30.443200020000013,29.419000074999996,29.14000009999999
556,9/11/2012,27.76,28.16,27.4,27.799999,1014900,27.799999,1.0,30.389600010000013,29.215000075,28.971500049999992
557,9/12/2012,27.9,28.58,27.799999,28.280001000000002,1145200,28.280001000000002,1.0,30.340800020000014,29.088250150000004,28.91450009999999
558,9/13/2012,28.57,29.5,28.48,29.48,1484700,29.48,1.0,30.316200010000017,29.021500100000004,28.918500099999996
559,9/14/2012,30.0,30.65,29.65,30.389999,1536600,30.389999,1.0,30.301900000000014,28.974500075,28.923000099999996
560,9/17/2012,32.349998,32.779999,31.51,32.540001000000004,3212800,32.540001000000004,1.0,30.298200010000013,28.993250075000002,29.049500149999993
561,9/18/2012,31.879998999999998,31.9,30.68,31.34,1788500,31.34,-1.0,30.276699990000015,29.010250075,29.141000149999996
562,9/19/2012,31.0,31.74,30.940001000000002,31.049999,1048500,31.049999,1.0,30.25379998000001,29.040500050000002,29.238000049999993
563,9/20/2012,30.93,31.5,30.68,30.9,912400,30.9,-1.0,30.231499970000012,29.089250025000005,29.285499999999992
